section_id,cluster_km,cluster_hr,cluster_gm
way/42901145_911,0,0,0
way/42901147_912,5,0,0
way/42901154_914,0,0,0
way/43497140_915,0,5,0
way/43555051_916,1,5,1
way/43659030_917,5,0,5
way/44015200_918,3,3,3
way/44015202_919,4,4,3
way/44016129_920,0,5,0
way/44431639_921,5,0,5
way/44447683_923,5,3,3
way/44447684_924,3,3,3
way/44619733_927,5,0,5
way/45671390_929,5,5,5
way/45671392_930,4,4,4
way/46046076_931,3,3,3
way/46554843_934,0,0,0
way/46929879_935,1,5,1
way/46932563_936,5,0,0
way/47246535_938,0,0,0
way/47515256_939,0,5,0
way/47958012_941,1,1,1
way/47982479_942,4,4,4
way/47982480_943,3,3,3
way/47982483_944,3,3,3
way/47982484_945,3,3,3
way/47985021_947,0,5,0
way/47985022_948,0,5,0
way/48001194_949,3,3,3
way/48001195_950,3,3,3
way/48001196_951,0,5,0
way/48001197_952,3,3,3
way/48001199_954,3,3,3
way/48001200_955,1,5,1
way/48002813_956,3,3,3
way/48058933_959,4,4,4
way/48200909_960,4,4,4
way/48256403_961,3,3,3
way/48654500_962,0,0,0
way/48688449_963,3,0,3
way/48688450_964,0,5,0
way/48918951_965,5,0,5
way/48952999_966,2,3,2
way/49071321_967,3,3,3
way/49290453_968,3,3,3
way/49294002_969,1,1,1
way/49532380_976,3,3,3
way/49532381_977,3,3,3
way/49532927_978,0,0,0
way/49582452_979,5,0,5
way/49582457_980,5,0,5
way/49600167_981,0,5,0
way/49600644_982,5,0,5
way/49602409_984,3,3,3
way/50569306_985,3,3,4
way/50569339_986,3,3,3
way/50569350_987,3,3,3
way/50569383_988,0,0,0
way/50569387_989,5,5,0
way/50569487_990,3,3,3
way/50598673_991,4,4,4
way/51995491_993,5,0,5
way/52034415_994,1,1,1
way/52092405_998,4,3,4
way/52161121_999,1,5,1
way/52474500_1000,0,0,0
way/52522244_1001,1,5,1
way/52842087_1004,0,0,0
way/52866644_1005,1,5,1
way/53857408_1006,1,5,1
way/53857409_1007,5,0,5
way/57726568_1008,0,5,0
way/59298465_1009,2,3,2
way/59619609_1010,3,3,3
way/59619623_1011,4,4,4
way/60302728_1013,5,0,5
way/60382253_1014,0,0,0
way/60384926_1015,4,4,4
way/60507472_1017,3,3,4
way/60544255_1018,0,5,0
way/64526866_1021,4,4,4
way/64526869_1022,4,4,4
way/64668761_1023,1,1,1
way/74173120_1028,1,1,1
way/74976134_1030,2,2,2
way/75310344_1032,5,3,0
way/76254565_1034,4,4,4
way/77809390_1035,5,3,5
way/77809679_1036,4,4,4
way/78379718_1037,1,1,1
way/79566584_1038,2,3,2
way/80300338_1039,1,5,1
way/83378028_1040,0,5,5
way/83378033_1041,5,0,5
way/83378035_1042,3,0,3
way/83378040_1043,5,0,5
way/85619618_1045,0,0,0
way/85619622_1046,0,5,0
way/87366368_1048,0,0,0
way/87399507_1050,0,0,0
way/87399546_1051,0,4,0
way/110084691_1057,4,0,4
way/110084699_1058,3,3,3
way/110084706_1059,4,4,4
way/110084709_1060,4,0,4
way/111212068_1061,4,0,4
way/111269665_1063,1,3,3
way/111269667_1064,3,3,3
way/111325131_1065,3,3,3
way/113227130_1066,3,3,3
way/117404500_1067,5,0,5
way/119185346_1068,3,3,3
way/119197743_1069,0,5,5
way/119197752_1070,5,5,5
way/119197778_1071,5,5,5
way/119368354_1072,5,5,0
way/119368386_1075,5,0,5
way/119368402_1076,5,0,5
way/119368403_1077,5,0,5
way/120925443_1078,1,1,1
way/120945066_1079,2,2,2
way/120945068_1080,2,2,2
way/120945069_1081,2,2,2
way/120945071_1082,2,2,2
way/121033367_1083,4,4,4
way/121033368_1084,4,4,4
way/121033369_1085,4,4,4
way/121531290_1087,3,3,3
way/121647181_1088,3,3,3
