name,region,country,country_code,population,surface,images,executed,processed,aggregated,density,folder,B_n_nodes,B_m_street,B_bicycle_det,B_car_det,B_bus_det,B_motorcycle_det,B_truck_det,B_parking meter_det,B_bench_det,B_residential_lu,B_grass_lu,B_forest_lu,B_cemetery_lu,ind,folder2,t_n_nodes,t_m_street,t_bicycle_det,t_car_det,t_bus_det,t_motorcycle_det,t_truck_det,t_parking meter_det,t_bench_det,t_residential_lu,t_grass_lu,t_forest_lu,t_cemetery_lu
Leiderdorp,Zuid-Holland,the Netherlands,NL,27477,11.58,43682,1,1,1,2372.79792746114,Leiderdorp_NL,0.0015533542816683326,0.00026228726079259026,0.41366957239671553,0.005658157815328086,0.07599770805322423,0.23377697024258956,-0.0145591116438837,0.3898471095699218,0.36341597149648225,-3.708799646572672e-06,5.808735518595849e-07,1.03236500671434e-05,-4.250332307121238e-05,45.0,/Users/francisco/Developer/Cities/Leiderdorp_NL,0.6862071597800883,5.12775384885263,12.659217195409699,4.022779244414786,0.8351140678568588,2.850772526519145,-0.5682145857979357,0.6957968570247683,6.211141132502366,-1.7279444022679384,0.30358810358033267,1.307845713909636,-1.8559890852538405
Leidschendam-Voorburg,Zuid-Holland,the Netherlands,NL,76642,32.55,119303,1,1,1,2354.592933947773,Leidschendam-Voorburg_NL,0.004690135272884208,0.00022900484663493194,0.32674741445397937,0.004574238798743618,0.20941351504754221,0.7515667266850683,0.058077462571422336,0.45305017928446156,0.15293245595593524,1.54630386260893e-07,-2.1435389848111724e-06,-2.335616910348675e-07,-3.9856160195211364e-05,46.0,/Users/francisco/Developer/Cities/Leidschendam-Voorburg_NL,3.9007530913737374,7.0148842503543944,22.1654439170904,5.786360893754029,3.4038581498404215,16.37640340023281,2.799390600964513,1.0346952063593606,5.862808950536212,0.13246070097837634,-1.267998175429054,-0.0961680927720021,-5.0458946481328875
Leusden,Utrecht,the Netherlands,NL,30712,58.54,79765,1,1,1,524.6327297574309,Leusden_NL,0.0005238557124761904,0.0002277803234445463,0.6259281740441492,0.003508722685811454,0.1842409539525984,0.4108335396086502,0.058475765516286464,-0.7690484717905208,0.07985729686741369,4.8835050560283075e-06,4.145759503215835e-07,-2.2257523919558074e-06,-1.3065508110221911e-05,47.0,/Users/francisco/Developer/Cities/Leusden_NL,0.4886787374092853,11.609485778978565,34.386708909637434,4.450957455274146,3.5313072643154606,7.44949081437707,3.7799228125086635,-2.861858327182979,5.230951781519525,5.715508995780229,1.080146658280028,-4.636269094228335,-4.3359392551332006
Lingewaard,Gelderland,the Netherlands,NL,46988,62.0,103489,1,1,1,757.8709677419355,Lingewaard_NL,0.0033425566852493304,0.00021482844055437258,0.542066566665489,0.005788979006010582,0.2097637944351907,0.6946805963776819,0.025519718142123962,0.17940265673479722,0.06885057566205852,3.3030213027504656e-06,1.1945640189552961e-07,-3.136340854362983e-06,5.079862004140168e-06,48.0,/Users/francisco/Developer/Cities/Lingewaard_NL,3.2580208790134617,11.449862332888152,30.99888961478059,7.272495436479474,5.895457244405069,16.869212733587432,1.776333913515933,0.5412981175123796,5.4946857693910935,5.799701309256284,0.3636650139021323,-1.8853411953596029,0.7586546906741399
Lochem,Gelderland,the Netherlands,NL,34096,213.03,161405,1,1,1,160.0525747547294,Lochem_NL,0.005634243219097149,0.00012085865459631011,0.7865103216665201,0.014379967638162756,0.04009802432044581,0.12403381030060795,0.05818935847824212,0.137401457263161,0.03529420067271112,4.5217325661087955e-06,9.743495794332915e-08,-1.0195594803969812e-06,-4.213940841726305e-06,49.0,/Users/francisco/Developer/Cities/Lochem_NL,7.502418617988016,12.622654671792082,51.5228609288081,20.52499649773318,1.483828551702169,5.394318673059794,6.064108438041545,1.8249636391615502,8.098781275997268,9.836182398708509,0.7980630403639095,-4.421970811894698,-1.2120467960321266
Lopik,Utrecht,the Netherlands,NL,14517,75.57,48498,1,1,1,192.100039698293,Lopik_NL,0.010195395866288547,0.00013403626742180267,0.37421486717946945,0.008930777173957105,-0.013307483398348158,-0.0976058050330214,-0.026047785587351414,-0.9760552673887409,0.021532621662324898,8.416634726064093e-07,-5.217611772008557e-07,2.6583935844085683e-06,-6.710093355418564e-06,50.0,/Users/francisco/Developer/Cities/Lopik_NL,9.222219147835665,10.258964054413088,18.933383112681074,14.64242173960791,-0.35601284490645163,-3.8246087197720273,-2.4691192062714995,-3.1936812571097004,3.429707878968656,2.0044226363356086,-2.080123937955756,2.7979946344381674,-1.1124866866769285
Maasdriel,Gelderland,the Netherlands,NL,25531,66.11,91895,1,1,1,386.18968386023295,Maasdriel_NL,0.004372389622030076,0.00018231049804224686,0.3067432217570558,0.011767489813314252,0.01610841168833233,0.3852323708584009,-0.027718139043952796,0.33263005636641463,0.02426457370899866,6.852203465779823e-07,5.655167585466272e-08,-7.735759477420636e-07,-3.2302365783213613e-06,51.0,/Users/francisco/Developer/Cities/Maasdriel_NL,4.482403203279229,12.690918318662566,17.515282717197994,15.628504974788276,0.6679117807431912,8.284739706982007,-3.776988699419315,1.5131230402672753,3.4417744300959328,1.6152610424173892,0.29329124822145974,-0.6200912850939961,-0.4433199976502698
Maasgouw,Limburg,the Netherlands,NL,24036,45.71,75201,1,1,1,525.8367971997375,Maasgouw_NL,0.006684303867257671,0.000139413318746466,1.3368674197327177,0.0028052470542684507,0.21174224481984483,0.4614796159034932,0.01936299832309359,-0.06268093887386977,0.14565196043264061,4.7057937194075445e-06,1.9091547896516818e-07,-1.8448202328682833e-06,5.5689090944532566e-05,52.0,/Users/francisco/Developer/Cities/Maasgouw_NL,5.018333819196852,7.273212053615184,45.270689757863956,2.952682716886971,4.712398149051898,8.97874248915794,1.449456724776894,-0.5849580092303187,6.826012902832882,6.859463451228606,0.3771996490108183,-2.6836009037683626,4.93095699291807
Maashorst,Noord-Brabant,the Netherlands,NL,58384,138.24,161210,1,1,1,422.33796296296293,Maashorst_NL,0.002556770907017576,9.526898512169496e-05,0.5049452122389982,0.007646812556644193,0.03933624013685296,0.133058355675117,0.02599633779918442,0.11125486153210914,0.04302654355805927,3.847084106446928e-06,2.663944057536744e-07,-6.097577484539996e-07,-5.387873940949684e-06,53.0,/Users/francisco/Developer/Cities/Maashorst_NL,3.5302163805422744,8.381289236569604,77.37345826219595,18.604888652780716,1.6044927866948342,4.549559329504497,3.3984238299234257,0.4055819468900688,6.58812122350963,10.075482620640855,1.0035195750125145,-2.0597819550671184,-1.5992780116531082
Maassluis,Zuid-Holland,the Netherlands,NL,34328,8.48,25214,1,1,1,4048.1132075471696,Maassluis_NL,0.013527117378315245,6.748350823988712e-06,0.22781735459057859,0.009835280401009495,0.28439232410458715,0.2492776107923243,0.02347367217043107,-0.8854623545980767,0.2943158539087457,4.068590502218958e-06,5.573306328641158e-07,9.754386217267052e-07,-7.541602771089438e-06,54.0,/Users/francisco/Developer/Cities/Maassluis_NL,3.863223353155423,0.08576185353941175,6.467241159822533,5.802401319568689,2.363920593206977,2.007675805700251,0.3755193499164117,-0.5672017517906325,4.046231279224999,1.5954266707769578,0.20151415037830525,0.12074914937760772,-0.3609914611679373
